osmid,osm_type,name,transport_mode,lat,lon,operator,network,ref,public_transport,railway,highway,amenity,tram,bus,route,source
12187329093,node,Pharmacie Ouled Daoud,bus,33.4935286,-7.8852226,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12187350209,node,Casa Port,unknown,33.5992327,-7.6116422,,,,stop_position,stop,,,,,,
12188302079,node,Kénitra,train,34.2514611,-6.5818162,,,,stop_position,station,,,,,,
12188302080,node,Gare de Salé Tabriquet,unknown,34.0525026,-6.8051203,,,,stop_position,stop,,,,,,
12188302081,node,Hay Riad,unknown,33.9642076,-6.8826342,,,,stop_position,stop,,,,,,
12188302082,node,Casa Port,train,33.5989919,-7.6120293,,,,station,station,,,,,,
12188628879,node,Bouskoura,train,33.4612723,-7.6517443,ONCF,TNR,,station,station,,,,,,
12188628952,node,Gare Ennassim,unknown,33.5174112,-7.6582448,,,,stop_position,stop,,,,,,
12188629039,node,Gare de Casa Oasis,unknown,33.5546945,-7.6314184,,,,stop_position,stop,,,,,,
12188629040,node,Mers Sultan,unknown,33.5698317,-7.6088337,,,,stop_position,stop,,,,,,
12188897721,node,Melloussa,tram,35.7213647,-5.659939,,,,stop_position,stop,,,yes,,,
12188897722,node,Ksar Sghir,tram,35.8455184,-5.5473687,,,,stop_position,stop,,,yes,,,
12188897723,node,Gare de Tanger-Med,unknown,35.8847721,-5.5011942,ONCF,,,stop_position,stop,,,,,,
12189072818,node,Office Agriculture,bus,33.4536441,-7.5098145,Alsa Al Baida,Casabus,,platform,,bus_stop,,,yes,,
12189072847,node,Place Al Hamed,bus,33.4501683,-7.4956385,,Casabus,,platform,,bus_stop,,,yes,,
12189072887,node,Derb Foukara,bus,33.5660362,-7.6073366,Alsa Al Baida,Casabus,297,platform,,bus_stop,,,yes,,
12189247134,node,Somaver,bus,33.6148394,-7.5367581,Alsa Al Baida,Casabus,669;668,platform,,bus_stop,,,yes,,
12189247136,node,Angle Eucaliptus/Plage,bus,33.6137815,-7.5387155,Alsa Al Baida,Casabus,631;628,platform,,bus_stop,,,yes,,
12189247138,node,Pharmacie Des Parcs,bus,33.6115553,-7.5409004,Alsa Al Baida,Casabus,632;627,platform,,bus_stop,,,yes,,
